Remove Outlier,Estimate,Error Method,Same class,Cutoff,Precision,Recall,F1
TRUE,estimate,mean_err,FALSE,0.02,0.71,0.51,0.59
TRUE,estimate,mean_err,FALSE,0.04,0.72,0.52,0.61
TRUE,estimate,mean_err,FALSE,0.06,0.73,0.55,0.63
TRUE,estimate,mean_err,FALSE,0.08,0.64,0.61,0.63
TRUE,estimate,mean_err,FALSE,0.1,0.57,0.74,0.64
TRUE,estimate,mean_err,FALSE,0.12,0.51,0.73,0.61
TRUE,estimate,mean_err,FALSE,0.14,0.52,0.76,0.62
TRUE,estimate,mean_err,FALSE,0.16,0.52,0.76,0.62
TRUE,estimate,mean_err,FALSE,0.18,0.52,0.76,0.62
TRUE,estimate,mean_err,FALSE,0.2,0.51,0.7,0.59
TRUE,estimate,mean_err,FALSE,0.22,0.46,0.7,0.56
TRUE,estimate,mean_err,FALSE,0.24,0.44,0.7,0.54
TRUE,estimate,mean_err,FALSE,0.26,0.34,0.79,0.48
TRUE,estimate,mean_err,FALSE,0.28,0.34,0.81,0.48
TRUE,estimate,mean_err,FALSE,0.3,0.38,0.94,0.54
TRUE,estimate,mean_err,FALSE,0.32,0.38,0.94,0.54
TRUE,estimate,mean_err,FALSE,0.34,0.38,0.94,0.54
TRUE,estimate,mean_err,FALSE,0.36,0.38,0.94,0.54
TRUE,estimate,mean_err,FALSE,0.38,0.33,0.96,0.49
TRUE,estimate,mean_err,FALSE,0.4,0.37,1,0.54
TRUE,estimate,mean_err,FALSE,0.42,0.31,1,0.48
TRUE,estimate,mean_err,FALSE,0.44,0.31,1,0.48
TRUE,estimate,mean_err,FALSE,0.46,0.31,1,0.48
TRUE,estimate,mean_err,FALSE,0.48,0.31,1,0.48
TRUE,estimate,mean_err,FALSE,0.5,0.25,1,0.4
TRUE,estimate,mean_err,FALSE,0.52,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.54,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.56,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.58,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.6,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.62,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.64,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.66,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.68,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.7,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.72,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.74,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.76,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.78,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.8,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.82,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.84,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.86,0.13,1,0.23
TRUE,estimate,mean_err,FALSE,0.88,0.13,1,0.23
