Remove Outlier,Estimate,Error Method,Same class,Cutoff,Precision,Recall,F1
TRUE,estimate,mean_err,FALSE,0.02,0.77,0.51,0.62
TRUE,estimate,mean_err,FALSE,0.04,0.79,0.52,0.63
TRUE,estimate,mean_err,FALSE,0.06,0.83,0.53,0.65
TRUE,estimate,mean_err,FALSE,0.08,0.83,0.53,0.65
TRUE,estimate,mean_err,FALSE,0.1,0.85,0.54,0.66
TRUE,estimate,mean_err,FALSE,0.12,0.79,0.52,0.63
TRUE,estimate,mean_err,FALSE,0.14,0.81,0.53,0.64
TRUE,estimate,mean_err,FALSE,0.16,0.81,0.53,0.64
TRUE,estimate,mean_err,FALSE,0.18,0.81,0.53,0.64
TRUE,estimate,mean_err,FALSE,0.2,0.81,0.53,0.64
TRUE,estimate,mean_err,FALSE,0.22,0.73,0.5,0.59
TRUE,estimate,mean_err,FALSE,0.24,0.73,0.5,0.59
TRUE,estimate,mean_err,FALSE,0.26,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.28,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.3,0.79,0.52,0.63
TRUE,estimate,mean_err,FALSE,0.32,0.73,0.5,0.59
TRUE,estimate,mean_err,FALSE,0.34,0.73,0.5,0.59
TRUE,estimate,mean_err,FALSE,0.36,0.73,0.5,0.59
TRUE,estimate,mean_err,FALSE,0.38,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.4,0.73,0.5,0.59
TRUE,estimate,mean_err,FALSE,0.42,0.6,0.45,0.52
TRUE,estimate,mean_err,FALSE,0.44,0.6,0.45,0.52
TRUE,estimate,mean_err,FALSE,0.46,0.6,0.45,0.52
TRUE,estimate,mean_err,FALSE,0.48,0.6,0.45,0.52
TRUE,estimate,mean_err,FALSE,0.5,0.62,0.46,0.53
TRUE,estimate,mean_err,FALSE,0.52,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.54,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.56,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.58,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.6,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.62,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.64,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.66,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.68,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.7,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.72,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.74,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.76,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.78,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.8,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.82,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.84,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.86,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.88,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.9,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.92,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.94,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.96,0.67,0.48,0.56
TRUE,estimate,mean_err,FALSE,0.98,0.67,0.48,0.56
TRUE,estimate,mean_sq_err,FALSE,0.02,0.6,0.45,0.52
TRUE,estimate,mean_sq_err,FALSE,0.04,0.65,0.47,0.54
TRUE,estimate,mean_sq_err,FALSE,0.06,0.65,0.47,0.54
TRUE,estimate,mean_sq_err,FALSE,0.08,0.65,0.47,0.54
TRUE,estimate,mean_sq_err,FALSE,0.1,0.65,0.47,0.54
TRUE,estimate,mean_sq_err,FALSE,0.12,0.58,0.44,0.5
TRUE,estimate,mean_sq_err,FALSE,0.14,0.58,0.44,0.5
TRUE,estimate,mean_sq_err,FALSE,0.16,0.58,0.44,0.5
TRUE,estimate,mean_sq_err,FALSE,0.18,0.58,0.44,0.5
TRUE,estimate,mean_sq_err,FALSE,0.2,0.65,0.47,0.54
TRUE,estimate,mean_sq_err,FALSE,0.22,0.67,0.48,0.56
TRUE,estimate,mean_sq_err,FALSE,0.24,0.48,0.4,0.43
TRUE,estimate,mean_sq_err,FALSE,0.26,0.48,0.4,0.43
TRUE,estimate,mean_sq_err,FALSE,0.28,0.48,0.4,0.43
TRUE,estimate,mean_sq_err,FALSE,0.3,0.48,0.4,0.43
